Timestamp,Gest_Zadany,Gest_Wykryty,FPS
1774517716.0390005,OTWARTA,ZAMKNIETA,24.306492272208345
1774517725.2964919,OTWARTA,OTWARTA,21.51410574693777
1774517727.0492165,OTWARTA,OTWARTA,21.489855310079108
1774517727.6042664,OTWARTA,OTWARTA,21.162938781276647
1774517727.8077455,OTWARTA,OTWARTA,14.99363335108798
1774517728.0299854,OTWARTA,OTWARTA,21.862641257662315
1774517728.2082486,OTWARTA,OTWARTA,21.705041890696073
1774517728.4149256,OTWARTA,OTWARTA,30.19722528204353
1774517728.9122016,OTWARTA,OTWARTA,44.055964035124575
1774517729.1469967,OTWARTA,OTWARTA,10.313042323684101
1774517729.5618474,OTWARTA,OTWARTA,22.370575811234612
1774517730.1158745,OTWARTA,ZAMKNIETA,19.40558621997881
1774517730.301235,OTWARTA,ZAMKNIETA,26.24441705200323
1774517730.488251,OTWARTA,ZAMKNIETA,29.769216574162137
1774517730.6176927,OTWARTA,ZAMKNIETA,27.675675675675677
